更新时间,#genre#
2024-10-30 18:23:04,url
📺央视频道,#genre#
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/index.m3u8$订阅源
CCTV-1,http://39.98.201.151:9090/udp/225.1.8.101:8080$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002133/index.m3u8$订阅源
CCTV-1,http://223.151.49.74:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源|1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000030810/1.m3u8$订阅源
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000001000004953/1.m3u8$订阅源
CCTV-1,http://39.98.201.151:9090/udp/225.1.8.1:8008$订阅源
CCTV-1,http://36.35.16.98:9901/tsfile/live/0001_18.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://101.68.81.44:9999/rtp/233.50.201.118:5140$浙江联通组播源|1920x1080
CCTV-1,http://121.237.155.224:8800/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://58.215.3.254:8686/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://49.83.250.201:10001/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://180.103.165.67:8888/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-1,http://121.237.155.224:8800/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://58.215.3.254:8686/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://49.83.250.201:10001/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://180.103.165.67:8888/rtp/239.49.1.1:6000$江苏电信组播源|1920x1080
CCTV-1,http://119.166.159.120:6666/rtp/239.253.254.77:8000$山东联通组播源|1920x1080
CCTV-2,http://kxrj.site:998/123/mg.php?id=cctv2$订阅源|1920x1080
CCTV-2,http://121.24.98.232:8090/hls/10/index.m3u8$订阅源
CCTV-2,http://111.8.224.6:8085/tsfile/live/1002_1.m3u8$订阅源
